rank,date,phase,match,team_a_win_prob,draw_prob,team_b_win_prob,win_prob_gap,predicted_outcome,actual_outcome
1,2022-12-05,Knockout,Japan vs Croatia,0.2458011102082564,0.3892738998333717,0.3649249899583719,0.11912387975011551,Draw,Draw
2,2022-12-09,Knockout,Netherlands vs Argentina,0.2253675212463438,0.3658190763345345,0.4088134024191216,0.18344588117277782,Team B win,Draw
3,2022-11-25,Group,Netherlands vs Ecuador,0.3736545087583104,0.3657335378436498,0.2606119533980397,0.11304255536027069,Team A win,Draw
4,2022-11-28,Group,Portugal vs Uruguay,0.3446751839791864,0.3650638924265521,0.2902609235942616,0.054414260384924806,Draw,Team A win
5,2022-12-10,Knockout,England vs France,0.2826624979387795,0.352767794502367,0.3645697075588535,0.08190720962007397,Team B win,Team B win
6,2022-11-20,Group,Qatar vs Ecuador,0.2940136648802052,0.3438407435126236,0.3621455916071712,0.068131926726966,Team B win,Team B win
7,2022-12-03,Knockout,Netherlands vs United States,0.4784959329271252,0.3411695770671273,0.1803344900057474,0.2981614429213778,Team A win,Team A win
8,2022-11-23,Group,Morocco vs Croatia,0.2144409595767396,0.3241743079734653,0.4613847324497949,0.2469437728730553,Team B win,Draw
9,2022-12-09,Knockout,Croatia vs Brazil,0.1676693600260904,0.3162699774691183,0.5160606625047912,0.3483913024787008,Team B win,Draw
10,2022-11-29,Group,Wales vs England,0.2261502782660714,0.3149800766538123,0.4588696450801162,0.2327193668140448,Team B win,Team B win
11,2022-11-30,Group,Tunisia vs France,0.2067649022016525,0.3146301490314577,0.4786049487668896,0.2718400465652371,Team B win,Team A win
12,2022-12-04,Knockout,England vs Senegal,0.4890424566320672,0.3138336605840416,0.1971238827838912,0.291918573848176,Team A win,Team A win
13,2022-12-04,Knockout,France vs Poland,0.5104865311213649,0.3101999781368901,0.179313490741745,0.3311730403796199,Team A win,Team A win
14,2022-11-25,Group,Qatar vs Senegal,0.2141678248845504,0.3094387704873442,0.4763934046281054,0.262225579743555,Team B win,Team B win
15,2022-12-17,Knockout,Croatia vs Morocco,0.3755913351169428,0.3091600677054069,0.3152485971776502,0.06034273793929262,Team A win,Team A win
16,2022-11-26,Group,Poland vs Saudi Arabia,0.4296913737626459,0.308955187376737,0.2613534388606169,0.16833793490202897,Team A win,Team A win
17,2022-11-26,Group,France vs Denmark,0.409437690407594,0.306312536927114,0.284249772665292,0.12518791774230198,Team A win,Team A win
18,2022-11-24,Group,Brazil vs Serbia,0.5285454109853919,0.3039988972071671,0.1674556918074412,0.3610897191779507,Team A win,Team A win
19,2022-11-25,Group,Wales vs Iran,0.3976544698546122,0.3036856419229599,0.298659888222428,0.09899458163218422,Team A win,Team B win
20,2022-12-01,Group,Croatia vs Belgium,0.3845873126587867,0.2996061014384628,0.3158065859027504,0.0687807267560363,Team A win,Draw
21,2022-12-14,Knockout,France vs Morocco,0.4606921557558071,0.2962697905941419,0.243038053650051,0.2176541021057561,Team A win,Team A win
22,2022-11-27,Group,Croatia vs Canada,0.4680763366951645,0.2961945737962888,0.2357290895085466,0.23234724718661792,Team A win,Team A win
23,2022-11-27,Group,Spain vs Germany,0.4548901299558971,0.295899082871105,0.2492107871729978,0.20567934278289932,Team A win,Draw
24,2022-11-29,Group,Ecuador vs Senegal,0.493237805311135,0.2901992448079654,0.2165629498808995,0.2766748554302355,Team A win,Team B win
25,2022-11-30,Group,Australia vs Denmark,0.1898871807954382,0.2896258751627542,0.5204869440418076,0.3305997632463694,Team B win,Team A win
26,2022-11-22,Group,Mexico vs Poland,0.3810619181909863,0.2875593718208293,0.3313787099881844,0.049683208202801865,Team A win,Draw
27,2022-12-18,Knockout,Argentina vs France,0.48623541221599,0.2875386221235185,0.2262259656604914,0.26000944655549857,Team A win,Draw
28,2022-12-02,Group,Serbia vs Switzerland,0.348347472367402,0.2861948861771349,0.3654576414554632,0.017110169088061233,Team B win,Team B win
29,2022-11-28,Group,South Korea vs Ghana,0.5289127978491796,0.2835310752540971,0.1875561268967233,0.34135667095245625,Team A win,Team B win
30,2022-12-01,Group,Canada vs Morocco,0.2725890489221988,0.2827873110229522,0.4446236400548489,0.17203459113265007,Team B win,Team B win
31,2022-11-21,Group,United States vs Wales,0.410893900298372,0.281655785084618,0.3074503146170099,0.10344358568136208,Team A win,Draw
32,2022-11-29,Group,Iran vs United States,0.3423506565591345,0.2812267732653416,0.3764225701755239,0.03407191361638939,Team B win,Team B win
33,2022-11-26,Group,Tunisia vs Australia,0.4373318792763325,0.2804881091517548,0.2821800115719128,0.1551518677044197,Team A win,Team B win
34,2022-11-22,Group,Denmark vs Tunisia,0.5311102568777167,0.2778033474761808,0.1910863956461024,0.3400238612316143,Team A win,Draw
35,2022-12-06,Knockout,Morocco vs Spain,0.237989671186874,0.2773443426152819,0.4846659861978439,0.2466763150109699,Team B win,Draw
36,2022-12-06,Knockout,Portugal vs Switzerland,0.5357715631378366,0.2756328236970781,0.1885956131650853,0.34717594997275125,Team A win,Team A win
37,2022-11-29,Group,Qatar vs Netherlands,0.1754465463163064,0.2749887796768678,0.5495646740068257,0.37411812769051933,Team B win,Team B win
38,2022-12-02,Group,South Korea vs Portugal,0.2121380816460067,0.274619904760762,0.5132420135932314,0.30110393194722473,Team B win,Team A win
39,2022-11-22,Group,France vs Australia,0.5632087900302495,0.2741213292159172,0.1626698807538334,0.4005389092764161,Team A win,Team A win
40,2022-11-27,Group,Japan vs Costa Rica,0.506427083582893,0.2725889359887715,0.2209839804283354,0.2854431031545576,Team A win,Team B win
41,2022-11-30,Group,Saudi Arabia vs Mexico,0.2231267874660363,0.2699998188927426,0.506873393641221,0.28374660617518466,Team B win,Team B win
42,2022-11-27,Group,Belgium vs Morocco,0.5205093340229823,0.2674885571913237,0.2120021087856941,0.3085072252372882,Team A win,Team B win
43,2022-11-23,Group,Belgium vs Canada,0.5185532931182378,0.2659039072704342,0.215542799611328,0.30301049350690984,Team A win,Team A win
44,2022-11-23,Group,Spain vs Costa Rica,0.5599523973805082,0.2654414813892304,0.1746061212302613,0.38534627615024686,Team A win,Team A win
45,2022-11-21,Group,England vs Iran,0.5026542582769348,0.2647892874115746,0.2325564543114906,0.27009780396544414,Team A win,Team A win
46,2022-11-24,Group,Switzerland vs Cameroon,0.5546268297927394,0.2638431916660745,0.1815299785411861,0.37309685125155323,Team A win,Team A win
47,2022-12-01,Group,Costa Rica vs Germany,0.2564643583748889,0.2612673139664043,0.4822683276587068,0.2258039692838179,Team B win,Team B win
48,2022-11-28,Group,Brazil vs Switzerland,0.5796118758243458,0.2595284909461612,0.1608596332294928,0.418752242594853,Team A win,Team A win
49,2022-12-10,Knockout,Morocco vs Portugal,0.1691333516363538,0.2557285898893255,0.5751380584743206,0.40600470683796686,Team B win,Team A win
50,2022-11-28,Group,Cameroon vs Serbia,0.1592163946632325,0.2494502735154872,0.5913333318212802,0.4321169371580477,Team B win,Draw
51,2022-12-13,Knockout,Argentina vs Croatia,0.5435647898594023,0.2489920754064909,0.2074431347341068,0.33612165512529546,Team A win,Team A win
52,2022-11-25,Group,England vs United States,0.5143669067976749,0.2456912501570597,0.2399418430452654,0.27442506375240955,Team A win,Draw
53,2022-11-23,Group,Germany vs Japan,0.4481434826619497,0.243466805357267,0.3083897119807833,0.1397537706811664,Team A win,Team B win
54,2022-11-24,Group,Uruguay vs South Korea,0.5471858516010195,0.2424210509437064,0.2103930974552741,0.3367927541457454,Team A win,Draw
55,2022-11-30,Group,Poland vs Argentina,0.1648167050714739,0.2398760989613124,0.5953071959672136,0.4304904908957397,Team B win,Team B win
56,2022-12-01,Group,Japan vs Spain,0.2274040673305919,0.2303649973585709,0.5422309353108372,0.3148268679802453,Team B win,Team A win
57,2022-12-02,Group,Ghana vs Uruguay,0.1549979135713115,0.2281657461723207,0.6168363402563678,0.46183842668505626,Team B win,Team B win
58,2022-11-24,Group,Portugal vs Ghana,0.6373834144852839,0.2247139533179494,0.1379026321967667,0.4994807822885172,Team A win,Team A win
59,2022-11-26,Group,Argentina vs Mexico,0.6218319766239024,0.2214162353648056,0.1567517880112919,0.4650801886126106,Team A win,Team A win
60,2022-12-05,Knockout,Brazil vs South Korea,0.6967072333010527,0.2097947473334636,0.0934980193654837,0.6032092139355689,Team A win,Team A win
61,2022-11-21,Group,Senegal vs Netherlands,0.1514902414896026,0.209231642519152,0.6392781159912454,0.4877878745016428,Team B win,Team B win
62,2022-12-02,Group,Cameroon vs Brazil,0.1482607406328481,0.1966907001717777,0.6550485591953741,0.506787818562526,Team B win,Team A win
63,2022-11-22,Group,Argentina vs Saudi Arabia,0.6975468839871759,0.1884326058958293,0.1140205101169948,0.5835263738701811,Team A win,Team B win
64,2022-12-03,Knockout,Argentina vs Australia,0.7759368539371977,0.1453711848206239,0.0786919612421784,0.6972448926950193,Team A win,Team A win
